Diseases,Temperature,Weather,Region_Type,Air_Quality,Water_Quality,Humidity,time_delay,Risk_percent
Fungal infection,1,25,7,4,6,2,29,20
Fungal infection,2,23,13,6,4,1,28,14
Fungal infection,1,22,14,5,6,2,30,18
Fungal infection,2,24,11,4,5,3,29,10
Fungal infection,3,20,17,5,4,1,28,13
Fungal infection,2,19,18,4,5,2,30,13
Fungal infection,1,25,14,6,4,1,29,17
Fungal infection,2,20,13,5,5,2,28,11
Fungal infection,1,27,7,4,6,3,30,18
Fungal infection,3,24,8,5,5,1,28,13
Allergy,1,25,16,6,6,2,29,29
Allergy,3,19,8,5,5,1,30,30
Allergy,2,21,11,6,6,3,29,26
Allergy,1,24,12,4,4,1,30,34
Allergy,2,23,14,5,6,3,28,33
Allergy,3,27,15,4,5,2,30,29
Allergy,2,24,12,6,6,3,29,36
Allergy,1,25,9,4,5,1,28,26
Allergy,3,24,7,6,4,3,30,36
Allergy,2,21,14,4,6,1,29,34
GERD,1,19,16,6,4,3,30,22
GERD,3,22,7,5,5,2,28,48
GERD,1,23,11,4,4,3,30,22
GERD,2,27,18,6,5,1,28,26
GERD,3,22,11,5,6,3,30,30
GERD,1,26,15,4,4,2,28,29
GERD,3,22,13,5,5,1,29,22
GERD,1,27,10,6,4,3,28,43
GERD,3,26,16,4,6,1,29,22
GERD,2,19,18,5,5,3,30,43
Chronic cholestasis,1,23,10,4,4,2,28,24
Chronic cholestasis,3,27,12,6,6,1,30,26
Chronic cholestasis,1,22,17,4,4,3,28,40
Chronic cholestasis,3,20,9,5,5,2,29,22
Chronic cholestasis,2,25,8,4,6,3,28,40
Chronic cholestasis,3,21,12,6,5,1,29,31
Chronic cholestasis,2,26,11,4,4,3,28,36
Chronic cholestasis,3,20,18,5,5,2,30,24
Chronic cholestasis,2,27,15,6,4,3,28,52
Chronic cholestasis,3,22,7,4,6,1,30,24
Drug Reaction,1,21,10,6,5,3,28,37
Drug Reaction,3,22,18,4,6,1,29,22
Drug Reaction,2,27,17,5,5,3,30,24
Drug Reaction,3,21,14,6,4,2,29,40
Drug Reaction,2,27,7,5,5,1,28,31
Drug Reaction,1,19,14,4,4,2,29,20
Drug Reaction,2,21,10,6,5,3,30,40
Drug Reaction,1,26,18,4,4,1,28,24
Drug Reaction,3,24,17,5,5,3,30,26
